CropId,OffTakeUuid,CropUuid,CropName,CropVariant,GrowMedia,CropImage,CropIcon,IsActive,Yield,Ratio,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy,DeletedOn,DeletedBy,CropDescription,CropGUID,ParentCropGUID,Level,IsDiarySubmited,UnitCollection,IsAnimalCategory,IsLiveStock,CompanyId
1,TigerBrands-C04789,TigerBrands-C04789-1,Tomatoes,Sun Dried,Direct Planting,tomato-85-874x1024_g02drnhv.qus.png,tomato-85-874x1024_ykyonbvu.3xj.png,1,1.00,1.00,2021-02-09 14:36:40.270,NULL,2026-01-06 07:48:07.500,1,NULL,NULL,"Growing tomatoes for U Can Grow is a great way to earn income. When planning your tomato crop, take care to plan for the following factors: 
•	Exposure of fields to wind: 
o	The more and the stronger the wind is that the plants is exposed to the more difficult it is for the plant to grow optimally.  If you have no choice but to plant in windy areas, establish windbreaks to protect your crop.
•	Exposure of fields to sunlight: 
o	The extent to which the crops are exposed to sunlight determines the amount of light exposure, as well as the temperature to which plants will be exposed. The temperatures and sun exposure will influence the growth of the crops. The amount of light and the length of day (number of hours of light) could also be important in determining crop development and should be considered when choosing a crop. High temperatures and arid, dry soil may cause root shock as the roots are taken out of a moist, cool environment and exposed directly to harsh conditions. To avoid root shock one must plant crops during the coolest time of day and water them properly. Make sure soil is moist before planting.
•	Humidity:
o	The more humid an area the higher the potential for more fungal growth. This is not desirable for many crop types, especially those susceptible to fungal infection.  The changes in humidity during the course of the season must also be taken into account.
•	Air: 
o	Plants need a balanced amount of oxygen and carbon dioxide in order to grow optimally. If they are in an area where the air is polluted they will not be able to photosynthesized effectively, which will lead to reduced growth.
",6539A194-E88B-47BD-B6E4-6DFD5DB610AA,NULL,2,1,,0,0,1
2,Tabasco International,TigerBrands-C04790-1,Chilli - Cayanne,Birds eye,Direct Planting,different-types-of-chillies_qn1tf5ys.uhb.jpg,6244686_c3hx2rrq.vn4.png,1,1.00,1.00,2021-02-09 14:36:57.797,NULL,2026-01-06 07:45:55.897,1,NULL,NULL,"Capsicum annuum- Frutescence L. Long Slim Cayenne Peppers
Hot long slim cayenne peppers- Spice full pods red with calyx 
",D3057144-B5F0-4D89-958C-1521518283F3,NULL,2,1,,0,0,1
3,UCG005,UCG005,Beetroot,Rocket,Direct Planting,Beetroot_eju2fijt.uyo.png,beet_6490099_wzwzrrc4.1k0.png,1,1.00,1.00,2021-02-09 14:37:41.230,NULL,2026-01-06 07:44:51.827,1,NULL,NULL,null,C388623E-D809-49B9-B434-3F6BA6F612EB,NULL,2,1,"[{""id"":1,""unit"":""Bunches"",""units"":""1"",""kg"":""1"",""unitWeight"":""1.000"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
4,,,Onions,Onion,Direct Planting,Onion_jktj53zw.5ky.jpg,onion-3d-rendering-icon-illustration-free-png_y3byrc5y.kpx.png,0,1.00,1.00,2021-03-03 16:24:27.680,1,2026-01-06 07:47:04.460,1,NULL,NULL,ONIONS (ALLIUM CEPA),949CABA3-76DC-4699-98C1-67160DF2EB63,NULL,2,NULL,,0,0,1
5,Spinach,Spinach,Spinach,Spinach,Direct Planting,Spinach-1_xlqpbsqs.kwj.jpg,spinach_5520618_w3fxbf5i.hbv.png,1,1.00,1.00,2021-04-12 12:22:48.993,2,2026-01-06 07:47:50.760,1,NULL,NULL,"Growing spinach for U Can Grow is a great way to earn income. When planning your crop, take care to plan for the following factors: 
•	Exposure of fields to wind: 
o	The more and the stronger the wind is that the plants is exposed to the more difficult it is for the plant to grow optimally.  If you have no choice but to plant in windy areas, establish windbreaks to protect your crop.
•	Exposure of fields to sunlight: 
o	The extent to which the crops are exposed to sunlight determines the amount of light exposure, as well as the temperature to which plants will be exposed. The temperatures and sun exposure will influence the growth of the crops. The amount of light and the length of day (number of hours of light) could also be important in determining crop development and should be considered when choosing a crop. High temperatures and arid, dry soil may cause root shock as the roots are taken out of a moist, cool environment and exposed directly to harsh conditions. To avoid root shock one must plant crops during the coolest time of day and water them properly. Make sure soil is moist before planting.
•	Humidity:
o	The more humid an area the higher the potential for more fungal growth. This is not desirable for many crop types, especially those susceptible to fungal infection.  The changes in humidity during the course of the season must also be taken into account.
•	Air: 
o	Plants need a balanced amount of oxygen and carbon dioxide in order to grow optimally. If they are in an area where the air is polluted they will not be able to photosynthesized effectively, which will lead to reduced growth.
   

Spinach: Testing the learning: Introduction

•	Are windbreaks important to safeguard the crop? Yes/No
•	Humid conditions may cause the crop to get fungal infections. True/False
",AAE9CFCA-EF91-42D0-BFEB-C82A5BF0A970,NULL,2,1,"[{""id"":1,""unit"":""Bunches"",""units"":""3"",""kg"":""1"",""unitWeight"":""0.333"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
6,Spring Onion,Spring Onion,Spring Onion,Spring Onion,Direct Planting,20000981_7-fresho-spring-onion-with-roots_svh2gj0v.z0q.webp,Spring Onion_mmcy244h.nom.png,1,1.00,1.00,2021-04-12 15:23:30.277,2,2026-01-06 07:47:56.380,1,NULL,NULL,null,16D073CB-3665-4C7B-8266-15208334FC29,NULL,2,NULL,,0,0,1
7,Kale,Kale,Kale,Kale,Direct Planting,Kale1_x4wwktpp.nqp.jpg,kale_1728744_ojx2dark.psn.png,1,1.00,1.00,2021-04-13 09:27:34.977,2,2026-01-06 07:46:46.210,1,NULL,NULL,null,F2F7BBD7-B718-416C-A7C1-69587DBA15B4,NULL,2,NULL,,0,0,1
8,Cabbage,Cabbage,Cabbage,Cabbage,Direct Planting,cabbage_xae131ir.oeg.jpg,cabbage_4464930_jye0gyvb.urv.png,1,1.00,1.00,2021-04-13 12:03:05.840,2,2026-01-06 07:45:33.360,1,NULL,NULL,CABBAGES (BRASSICA OLERACEA),8944DF7A-612A-4C53-8D63-72728EB5B362,NULL,2,NULL,"[{""id"":1,""unit"":""Unit"",""units"":""1.2"",""kg"":""1"",""unitWeight"":""0.833"",""avgWeight"":""0"",""count"":""0"",""isLiveStock"":false}]",0,0,1
11,Maize,Maize,Maize,Maize,Direct Planting,maize-scaled_2xfer4ru.h3l.jpg,8502793_s5pc3jpa.mrr.png,1,1.00,0.00,2021-04-15 10:41:29.360,2,2026-01-06 07:43:25.313,1,NULL,NULL,null,BB80C536-4974-422E-91BF-6C6F9B70ADD8,NULL,2,NULL,,0,0,1
13,Carrots,Carrots,Carrots,Carrots,Direct Planting,shutterstock_440493100-e1666516567945_iuwz5nn2.phx.jpg,Carrot_gpmpd2nu.drj.png,1,1.00,1.00,2021-04-23 11:00:56.803,2,2026-01-06 07:45:42.863,1,NULL,NULL,"Carrots are a cool season crop that is direct seeded in the spring for main season production or in the summer for fall and winter storage. They are in the family apiaceae, related to parsley, celery, parsnips and cilantro. They are a biennial, meaning they will produce a flowering head and seeds in their second year of growth. For most growers, carrots are not allowed to get to their seed-producing stage, as the carrot root is harvested in the first year.

Scientific name: Daucus carota L. 
Common names: Carrots 
Family: Apiaceae/Umbelliferae
",7F097787-A1FA-4D66-A5B7-BF3B385185AE,NULL,2,1,,0,0,1
